"PeakID (cmd=annotatePeaks.pl clp_cd8_H3K4me3.txt mm10 -size -500,500)",Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
clp_H3K4me3_1_peak_4676,chr13,114817420,114818420,+,97,NA,promoter-TSS (NM_001113375),promoter-TSS (NM_001113375),-317,NM_001113375,17434,Mm.19027,NM_013826,ENSMUSG00000015536,Mocs2,AI415403,molybdenum cofactor synthesis 2,protein-coding
clp_H3K4me3_1_peak_10490,chr3,133090908,133091908,+,97,NA,promoter-TSS (NM_027927),promoter-TSS (NM_027927),417,NM_026231,67553,Mm.304899,NM_026231,ENSMUSG00000028018,Gstcd,4933434L15Rik,"glutathione S-transferase, C-terminal domain containing",protein-coding
clp_H3K4me3_1_peak_6915,chr17,34931263,34932263,+,97,NA,"intron (NM_010893, intron 1 of 5)","intron (NM_010893, intron 1 of 5)",510,NM_010893,18010,Mm.8856,NM_010893,ENSMUSG00000007038,Neu1,AA407268|AA407316|Aglp|Apl|Bat-7|Bat7|G9|Map-2|Neu|Neu-1,neuraminidase 1,protein-coding
clp_H3K4me3_1_peak_14826,chr7,141265685,141266685,+,97,NA,"intron (NM_016850, intron 1 of 9)","intron (NM_016850, intron 1 of 9)",239,NM_016850,54123,Mm.3233,NM_016850,ENSMUSG00000025498,Irf7,-,interferon regulatory factor 7,protein-coding
clp_H3K4me3_1_peak_15263-2,chr8,72474286,72475286,+,97,NA,"intron (NM_001359024, intron 1 of 17)",CpG,447,NM_138585,27967,Mm.30136,NM_138585,ENSMUSG00000052488,Cherp,5730408I11Rik|D8Wsu96e|DAN16|Scaf6,calcium homeostasis endoplasmic reticulum protein,protein-coding
clp_H3K4me3_1_peak_16466-2,chr9,107568697,107569697,+,97,NA,promoter-TSS (NM_010489),promoter-TSS (NM_010489),34,NM_010489,15587,Mm.4834,NM_010489,ENSMUSG00000010047,Hyal2,AI256841|AU020858|AW555733,hyaluronoglucosaminidase 2,protein-coding
clp_H3K4me3_1_peak_2088,chr11,20830590,20831590,+,97,NA,promoter-TSS (NM_173752),promoter-TSS (NM_173752),18,NM_173752,216551,Mm.76694,NM_173752,ENSMUSG00000042363,Lgalsl,1110067D22Rik|A530071M23|Grpa|Hspc159|Lgalsla,"lectin, galactoside binding-like",protein-coding
clp_H3K4me3_1_peak_8598,chr2,25557718,25558718,+,97,NA,"intron (NM_021519, intron 1 of 4)","intron (NM_021519, intron 1 of 4)",371,NM_021519,59022,Mm.29945,NM_021519,ENSMUSG00000015092,Edf1,0610008L11Rik|AA409425|MBF1,endothelial differentiation-related factor 1,protein-coding
clp_H3K4me3_1_peak_6335,chr16,57606222,57607222,+,97,NA,"exon (NM_025599, exon 1 of 10)","exon (NM_025599, exon 1 of 10)",145,NM_025599,66497,Mm.425976,NM_025599,ENSMUSG00000022748,Cmss1,1110001A06Rik|2610528E23Rik|4930572F24Rik|AV099812|AV122629,cms small ribosomal subunit 1,protein-coding
clp_H3K4me3_1_peak_5731-2,chr15,85336074,85337074,+,97,NA,"exon (NM_016843, exon 1 of 12)","exon (NM_016843, exon 1 of 12)",319,NM_016843,54138,Mm.248906,NM_016843,ENSMUSG00000016541,Atxn10,AI325283|C77170|E46|Sca10|TEG-169|Tex169,ataxin 10,protein-coding
clp_H3K4me3_1_peak_5731,chr15,85336074,85337074,+,97,NA,"exon (NM_016843, exon 1 of 12)","exon (NM_016843, exon 1 of 12)",319,NM_016843,54138,Mm.248906,NM_016843,ENSMUSG00000016541,Atxn10,AI325283|C77170|E46|Sca10|TEG-169|Tex169,ataxin 10,protein-coding
clp_H3K4me3_1_peak_15027,chr8,31167856,31168856,+,96,NA,"intron (NM_026453, intron 1 of 9)","intron (NM_026453, intron 1 of 9)",368,NM_026453,67920,Mm.289818,NM_026453,ENSMUSG00000031578,Mak16,2600016B03Rik|AI314911|Rbm13,MAK16 homolog,protein-coding
clp_H3K4me3_1_peak_7704,chr18,67723701,67724701,+,96,NA,"intron (NM_008977, intron 1 of 9)",CpG,420,NM_008977,19255,Mm.260433,NM_008977,ENSMUSG00000024539,Ptpn2,AI325124|Ptpt|TC-PTP,"protein tyrosine phosphatase, non-receptor type 2",protein-coding
clp_H3K4me3_1_peak_6671,chr17,24959772,24960772,+,96,NA,TTS (NM_020608),TTS (NM_020608),351,NM_198937,52009,Mm.371601,NM_198937,ENSMUSG00000024165,Jpt2,2810430B18Rik|AL022629|C16orf34|D17Ertd441e|Hn1l,Jupiter microtubule associated homolog 2,protein-coding
clp_H3K4me3_1_peak_3311,chr11,120467491,120468491,+,96,NA,promoter-TSS (NM_197995),promoter-TSS (NM_197995),356,NM_008244,15239,Mm.7919,NM_008244,ENSMUSG00000025793,Hgs,Hgr|Hrs|ZFYVE8|tn,HGF-regulated tyrosine kinase substrate,protein-coding
clp_H3K4me3_1_peak_7291,chr17,81064300,81065300,+,96,NA,"intron (NM_028138, intron 1 of 9)","intron (NM_028138, intron 1 of 9)",285,NM_028138,72167,Mm.273257,NM_028138,ENSMUSG00000024246,Thumpd2,2810025A12Rik,THUMP domain containing 2,protein-coding
clp_H3K4me3_1_peak_6515,chr17,6106623,6107623,+,96,NA,"intron (NM_001103181, intron 1 of 13)",CpG,293,NM_001103181,68842,Mm.449307,NM_054040,ENSMUSG00000034377,Tulp4,1110057P05Rik|2210038L17Rik|Tusp,tubby like protein 4,protein-coding
clp_H3K4me3_1_peak_7015,chr17,45563799,45564799,+,96,NA,"intron (NM_001357105, intron 1 of 3)",CpG,363,NM_001357105,73836,Mm.289716,NM_028662,ENSMUSG00000037089,Slc35b2,1110003M08Rik|AA407792|AI842275|PAPST1|Slc35b1,"solute carrier family 35, member B2",protein-coding
clp_H3K4me3_1_peak_5060,chr14,62837777,62838777,+,96,NA,TTS (NR_106174),TTS (NR_106174),556,NR_106174,102465889,,NR_106174,ENSMUSG00000099245,Mir8098,Gm27462|mmu-mir-8098,microRNA 8098,ncRNA
clp_H3K4me3_1_peak_14872,chr7,144552950,144553950,+,96,NA,"intron (NM_001033319, intron 1 of 30)",CpG,279,NM_001033319,233977,Mm.490347,NM_001033319,ENSMUSG00000037519,Ppfia1,C030014K08Rik|C87158|LIP.1|LIP1,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1",protein-coding
clp_H3K4me3_1_peak_16575,chr9,114731209,114732209,+,96,NA,"intron (NM_026036, intron 1 of 3)","intron (NM_026036, intron 1 of 3)",506,NM_026036,67213,Mm.28858,NM_026036,ENSMUSG00000032434,Cmtm6,2810051A14Rik|AA536733|Cklfsf6,CKLF-like MARVEL transmembrane domain containing 6,protein-coding
clp_H3K4me3_1_peak_4037,chr13,17992456,17993456,+,96,NA,"intron (NM_025904, intron 1 of 2)","intron (NM_025904, intron 1 of 2)",395,NM_025904,67008,Mm.252918,NM_025904,ENSMUSG00000075054,Yae1d1,1600012F09Rik,Yae1 domain containing 1,protein-coding
clp_H3K4me3_1_peak_6811,chr17,31511438,31512438,+,96,NA,"intron (NM_021322, intron 1 of 10)","intron (NM_021322, intron 1 of 10)",549,NM_021322,57773,Mm.143771,NM_021322,ENSMUSG00000024037,Wdr4,AI415180|AI448349|D530049K22Rik|Wh,WD repeat domain 4,protein-coding
clp_H3K4me3_1_peak_6515-2,chr17,6106623,6107623,+,96,NA,"intron (NM_001103181, intron 1 of 13)",CpG,293,NM_001103181,68842,Mm.449307,NM_054040,ENSMUSG00000034377,Tulp4,1110057P05Rik|2210038L17Rik|Tusp,tubby like protein 4,protein-coding
clp_H3K4me3_1_peak_5032,chr14,60251547,60252547,+,96,NA,promoter-TSS (NM_001362440),promoter-TSS (NM_001362440),-568,NM_170591,71844,Mm.258051,NM_170591,ENSMUSG00000114797,Nupl1,1700017F11Rik|Nup58|mKIAA0410,nucleoporin like 1,protein-coding
clp_H3K4me3_1_peak_2308,chr11,54866521,54867521,+,96,NA,"intron (NM_008248, intron 1 of 2)","intron (NM_008248, intron 1 of 2)",638,NM_008248,15254,Mm.425,NM_008248,ENSMUSG00000020267,Hint1,AA673479|Hint|Ipk1|PKCI-1|PRKCNH1,histidine triad nucleotide binding protein 1,protein-coding
clp_H3K4me3_1_peak_1995,chr11,4848583,4849583,+,96,NA,"5' UTR (NM_001252250, exon 1 of 17)","5' UTR (NM_001252250, exon 1 of 17)",461,NM_010898,18016,Mm.297109,NM_010898,ENSMUSG00000009073,Nf2,merlin,neurofibromin 2,protein-coding
clp_H3K4me3_1_peak_12783,chr5,146948493,146949493,+,96,NA,"intron (NM_025652, intron 1 of 8)",CpG,336,NM_025652,66596,Mm.196528,NM_025652,ENSMUSG00000016503,Gtf3a,2010015D03Rik|2610111I01Rik|5330403M05Rik,general transcription factor III A,protein-coding
clp_H3K4me3_1_peak_1995-2,chr11,4848583,4849583,+,96,NA,"5' UTR (NM_001252250, exon 1 of 17)","5' UTR (NM_001252250, exon 1 of 17)",461,NM_010898,18016,Mm.297109,NM_010898,ENSMUSG00000009073,Nf2,merlin,neurofibromin 2,protein-coding
clp_H3K4me3_1_peak_2363,chr11,59847674,59848674,+,96,NA,"exon (NM_134029, exon 1 of 5)","exon (NM_134029, exon 1 of 5)",101,NM_134029,103850,Mm.41761,NM_134029,ENSMUSG00000032615,Nt5m,2010013E09Rik|AI846937|dNT-2,"5',3'-nucleotidase, mitochondrial",protein-coding
clp_H3K4me3_1_peak_7148,chr17,56325842,56326842,+,95,NA,"intron (NM_001357909, intron 1 of 21)",CpG,292,NM_001357909,193796,Mm.45047,NM_172132,ENSMUSG00000024201,Kdm4b,4732474L06Rik|Jmjd2b,lysine (K)-specific demethylase 4B,protein-coding
clp_H3K4me3_1_peak_13550,chr6,127560958,127561958,+,95,NA,"intron (NM_001368877, intron 1 of 18)","intron (NM_001368877, intron 1 of 18)",122,NM_001368877,381812,Mm.296093,NM_001033464,ENSMUSG00000061414,Cracr2a,Efcab4b|Gm1073|Gm462,calcium release activated channel regulator 2A,protein-coding
clp_H3K4me3_1_peak_1226,chr10,39171112,39172112,+,95,NA,Intergenic,Intergenic,-7818,NM_001127376,327743,Mm.208111,NM_001127376,ENSMUSG00000062074,Ccn6,Gm735|WISP-3|Wisp3,cellular communication network factor 6,protein-coding
clp_H3K4me3_1_peak_2729,chr11,83440296,83441296,+,95,NA,TTS (NM_080453),TTS (NM_080453),3102,NM_025492,66330,Mm.44800,NM_025492,ENSMUSG00000035085,1700020L24Rik,-,RIKEN cDNA 1700020L24 gene,protein-coding
clp_H3K4me3_1_peak_13061,chr6,50110365,50111365,+,95,NA,promoter-TSS (NM_001361248),promoter-TSS (NM_001361248),5,NM_001361248,56524,Mm.41288,NM_008016,ENSMUSG00000038388,Mpp6,P55t|Pals2,"membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)",protein-coding
clp_H3K4me3_1_peak_12297,chr5,110135605,110136605,+,95,NA,"exon (NM_001289578, exon 2 of 17)","exon (NM_001289578, exon 2 of 17)",275,NM_172717,231600,Mm.30264,NM_172717,ENSMUSG00000014668,Chfr,5730484M20Rik|C230082M18|RNF116,checkpoint with forkhead and ring finger domains,protein-coding
clp_H3K4me3_1_peak_15475,chr8,104591344,104592344,+,95,NA,"intron (NM_001024606, intron 1 of 1)","intron (NM_001024606, intron 1 of 1)",372,NM_001024606,382051,Mm.290750,NM_001024606,ENSMUSG00000048371,Pdp2,4833426J09Rik|Gm1705|mKIAA1348,pyruvate dehyrogenase phosphatase catalytic subunit 2,protein-coding
clp_H3K4me3_1_peak_11507,chr4,138304666,138305666,+,95,NA,"exon (NM_007838, exon 2 of 11)","exon (NM_007838, exon 2 of 11)",428,NM_007838,13200,Mm.7236,NM_007838,ENSMUSG00000028757,Ddost,-,dolichyl-di-phosphooligosaccharide-protein glycotransferase,protein-coding
clp_H3K4me3_1_peak_10578,chr3,146812498,146813498,+,95,NA,promoter-TSS (NM_011100),promoter-TSS (NM_011100),-52,NM_011100,18749,Mm.16766,NM_011100,ENSMUSG00000005034,Prkacb,CbPKA|Pkacb,"protein kinase, cAMP dependent, catalytic, beta",protein-coding
clp_H3K4me3_1_peak_6785-2,chr17,29094197,29095197,+,95,NA,"intron (NM_007669, intron 1 of 2)",CpG,928,NM_007669,12575,Mm.195663,NM_007669,ENSMUSG00000023067,Cdkn1a,CAP20|CDKI|CIP1|Cdkn1|P21|SDI1|Waf1|mda6|p21Cip1|p21WAF,cyclin-dependent kinase inhibitor 1A (P21),protein-coding
clp_H3K4me3_1_peak_6785,chr17,29094197,29095197,+,95,NA,"intron (NM_007669, intron 1 of 2)",CpG,928,NM_007669,12575,Mm.195663,NM_007669,ENSMUSG00000023067,Cdkn1a,CAP20|CDKI|CIP1|Cdkn1|P21|SDI1|Waf1|mda6|p21Cip1|p21WAF,cyclin-dependent kinase inhibitor 1A (P21),protein-coding
clp_H3K4me3_1_peak_6319,chr16,55973695,55974695,+,94,NA,"exon (NM_173026, exon 1 of 11)","exon (NM_173026, exon 1 of 11)",391,NM_173026,271377,Mm.282814,NM_173026,ENSMUSG00000022601,Zbtb11,9230110G02Rik|ZNF-U69274,zinc finger and BTB domain containing 11,protein-coding
clp_H3K4me3_1_peak_7929-2,chr19,6014689,6015689,+,94,NA,promoter-TSS (NM_007600),promoter-TSS (NM_007600),58,NM_007600,12333,Mm.6221,NM_007600,ENSMUSG00000024942,Capn1,Capa-1|Capa1|mu-calpin,calpain 1,protein-coding
clp_H3K4me3_1_peak_1481,chr10,77581553,77582553,+,94,NA,"intron (NM_145925, intron 1 of 5)",CpG,398,NM_145925,108705,Mm.28853,NM_145925,ENSMUSG00000009291,Pttg1ip,1810010L20Rik|AI314311|AU018448|C79540|PBF,pituitary tumor-transforming 1 interacting protein,protein-coding
clp_H3K4me3_1_peak_5685,chr15,82046725,82047725,+,94,NA,"intron (NM_011482, intron 1 of 2)",CpG,373,NM_011482,20826,Mm.299312,NM_011482,ENSMUSG00000063480,Snu13,FA-1|Fta1|Nhp2l1|Ssfa1,"SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)",protein-coding
clp_H3K4me3_1_peak_6732,chr17,26972923,26973923,+,94,NA,TTS (NM_001281491),TTS (NM_001281491),244,NM_001005916,474156,Mm.328890,NM_001005916,ENSMUSG00000079605,Zbtb9,3930402F13Rik,zinc finger and BTB domain containing 9,protein-coding
clp_H3K4me3_1_peak_7929,chr19,6014689,6015689,+,94,NA,promoter-TSS (NM_007600),promoter-TSS (NM_007600),58,NM_007600,12333,Mm.6221,NM_007600,ENSMUSG00000024942,Capn1,Capa-1|Capa1|mu-calpin,calpain 1,protein-coding
clp_H3K4me3_1_peak_3731,chr12,83632480,83633480,+,94,NA,"intron (NM_027349, intron 1 of 18)","intron (NM_027349, intron 1 of 18)",737,NM_027349,67039,Mm.46005,NM_027349,ENSMUSG00000010608,Rbm25,2600011C06Rik|2610015J01Rik|A130095G20Rik|AI159652|AL023075|AU043498|RNPC7,RNA binding motif protein 25,protein-coding
clp_H3K4me3_1_peak_9912,chr3,51276651,51277651,+,94,NA,"non-coding (NR_073429, exon 1 of 1)","non-coding (NR_073429, exon 1 of 1)",363,NM_001291063,69257,Mm.131038,NM_023502,ENSMUSG00000037174,Elf2,2610036A20Rik|A230104O07Rik|AW111824|BB183398|EU32|NERF|NERF-1A|NERF-1B|NERF-2,E74-like factor 2,protein-coding
clp_H3K4me3_1_peak_5685-2,chr15,82046725,82047725,+,94,NA,"intron (NM_011482, intron 1 of 2)",CpG,373,NM_011482,20826,Mm.299312,NM_011482,ENSMUSG00000063480,Snu13,FA-1|Fta1|Nhp2l1|Ssfa1,"SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)",protein-coding
clp_H3K4me3_1_peak_6473,chr16,95702050,95703050,+,94,NA,"5' UTR (NM_011809, exon 1 of 10)","5' UTR (NM_011809, exon 1 of 10)",143,NM_011809,23872,Mm.290207,NM_011809,ENSMUSG00000022895,Ets2,AU022856|Ets-2,"E26 avian leukemia oncogene 2, 3' domain",protein-coding
clp_H3K4me3_1_peak_5687,chr15,82146993,82147993,+,94,NA,"intron (NM_033218, intron 1 of 18)",CpG,224,NM_033218,20788,Mm.38016,NM_033218,ENSMUSG00000022463,Srebf2,AI608257|SREBP-2|SREBP2|SREBP2gc|bHLHd2|lop13|nuc,sterol regulatory element binding factor 2,protein-coding
clp_H3K4me3_1_peak_14581,chr7,116307970,116308970,+,94,NA,promoter-TSS (NM_001305185),promoter-TSS (NM_001305185),-94,NM_001305185,233765,Mm.3741,NM_172743,ENSMUSG00000045659,Plekha7,A430081P20Rik|AI414265,"pleckstrin homology domain containing, family A member 7",protein-coding
clp_H3K4me3_1_peak_2191,chr11,44470406,44471406,+,94,NA,promoter-TSS (NM_024475),promoter-TSS (NM_024475),-358,NM_024475,79560,Mm.338784,NM_024475,ENSMUSG00000041231,Ublcp1,4930527B16Rik|8430435I17Rik|BC002236,ubiquitin-like domain containing CTD phosphatase 1,protein-coding
clp_H3K4me3_1_peak_3772,chr12,85486172,85487172,+,94,NA,Intergenic,Intergenic,12782,NM_010234,14281,Mm.246513,NM_010234,ENSMUSG00000021250,Fos,D12Rfj1|c-fos|cFos,FBJ osteosarcoma oncogene,protein-coding
clp_H3K4me3_1_peak_9547,chr2,156720468,156721468,+,94,NA,promoter-TSS (NR_040505),promoter-TSS (NR_040505),3,NM_001042488,228836,Mm.22094,NM_146128,ENSMUSG00000061689,Dlgap4,AI225853|BC024558|DAP-4|DAP4|SAPAP-4|Sapap4|WBP16,DLG associated protein 4,protein-coding
clp_H3K4me3_1_peak_10909,chr4,59805869,59806869,+,93,NA,"intron (NM_172468, intron 1 of 8)",CpG,719,NM_172468,209131,Mm.259705,NM_172468,ENSMUSG00000028385,Snx30,4732481H14Rik|C030041J06Rik,sorting nexin family member 30,protein-coding
clp_H3K4me3_1_peak_3130,chr11,106998519,106999519,+,93,NA,"intron (NM_010655, intron 1 of 10)","intron (NM_010655, intron 1 of 10)",506,NM_010655,16647,Mm.12508,NM_010655,ENSMUSG00000018362,Kpna2,2410044B12Rik|IPOA1|PTAC58|Rch1,karyopherin (importin) alpha 2,protein-coding
clp_H3K4me3_1_peak_6160,chr16,31274088,31275088,+,93,NA,"intron (NM_025800, intron 1 of 5)","intron (NM_025800, intron 1 of 5)",689,NM_025800,66849,Mm.291593,NM_025800,ENSMUSG00000047714,Ppp1r2,0610025N14Rik|2310007G06Rik|4930440J04Rik|5430408E15Rik|D16Ertd248e|I-2|IPP-2,"protein phosphatase 1, regulatory inhibitor subunit 2",protein-coding
clp_H3K4me3_1_peak_1075,chr10,7780058,7781058,+,93,NA,"intron (NM_145418, intron 1 of 7)",CpG,359,NM_001346750,215751,Mm.471825,NM_145418,ENSMUSG00000040006,Ginm1,AA589616,glycoprotein integral membrane 1,protein-coding
clp_H3K4me3_1_peak_11251,chr4,124850604,124851604,+,93,NA,promoter-TSS (NM_001142727),promoter-TSS (NM_001142727),345,NM_153566,230734,Mm.258568,NM_153566,ENSMUSG00000028889,Yrdc,AV303379|BC023823|IRIP|ITIP,yrdC domain containing (E.coli),protein-coding
clp_H3K4me3_1_peak_14440,chr7,100120602,100121602,+,93,NA,"intron (NM_133692, intron 1 of 11)",CpG,398,NM_133692,67967,Mm.37562,NM_133692,ENSMUSG00000030726,Pold3,2410142G14Rik|C85233|P66|P68,"polymerase (DNA-directed), delta 3, accessory subunit",protein-coding
clp_H3K4me3_1_peak_3056-2,chr11,102407255,102408255,+,93,NA,promoter-TSS (NM_026542),promoter-TSS (NM_026542),-238,NM_026542,68066,Mm.44226,NM_026542,ENSMUSG00000018677,Slc25a39,3010027G13Rik|D11Ertd333e,"solute carrier family 25, member 39",protein-coding
clp_H3K4me3_1_peak_9449,chr2,150786327,150787327,+,93,NA,promoter-TSS (NM_153781),promoter-TSS (NM_153781),31,NM_153781,110078,Mm.222584,NM_153781,ENSMUSG00000033059,Pygb,-,brain glycogen phosphorylase,protein-coding
clp_H3K4me3_1_peak_14287,chr7,75455510,75456510,+,93,NA,"intron (NM_029332, intron 1 of 36)",CpG,476,NM_029332,75547,Mm.216107,NM_029332,ENSMUSG00000066406,Akap13,1700026G02Rik|5730522G15Rik|5830460E08Rik|AKAP-13|AKAP-Lbc|BRX|Ht31|LBC|PROTO-LB|PROTO-LBC,A kinase (PRKA) anchor protein 13,protein-coding
clp_H3K4me3_1_peak_8826,chr2,38286483,38287483,+,93,NA,"intron (NM_001362973, intron 1 of 22)",CpG,401,NM_001362978,227801,Mm.314245,NM_146122,ENSMUSG00000035392,Dennd1a,6030446I19Rik|connecdenn,DENN/MADD domain containing 1A,protein-coding
clp_H3K4me3_1_peak_3056,chr11,102407255,102408255,+,93,NA,promoter-TSS (NM_026542),promoter-TSS (NM_026542),-238,NM_026542,68066,Mm.44226,NM_026542,ENSMUSG00000018677,Slc25a39,3010027G13Rik|D11Ertd333e,"solute carrier family 25, member 39",protein-coding
clp_H3K4me3_1_peak_3241,chr11,116434356,116435356,+,93,NA,"intron (NR_003376, intron 3 of 3)","intron (NR_003376, intron 3 of 3)",643,NR_003376,664849,Mm.258466,NR_003376,,Gm7367,EG664849,1110014K08Rik pseudogene,pseudo
clp_H3K4me3_1_peak_10909-2,chr4,59805869,59806869,+,93,NA,"intron (NM_172468, intron 1 of 8)",CpG,719,NM_172468,209131,Mm.259705,NM_172468,ENSMUSG00000028385,Snx30,4732481H14Rik|C030041J06Rik,sorting nexin family member 30,protein-coding
clp_H3K4me3_1_peak_10022,chr3,75555976,75556976,+,92,NA,"intron (NM_019745, intron 1 of 7)",CpG,376,NM_019745,56426,Mm.316473,NM_019745,ENSMUSG00000027835,Pdcd10,2410003B13Rik|Ccm3|Tfa15|Tfar15,programmed cell death 10,protein-coding
clp_H3K4me3_1_peak_6409-2,chr16,91010598,91011598,+,92,NA,promoter-TSS (NM_001045515),promoter-TSS (NM_001045515),-3,NM_001045515,104015,Mm.187079,NM_001045515,ENSMUSG00000022973,Synj1,A930006D20Rik|AA675315|mKIAA0910,synaptojanin 1,protein-coding
clp_H3K4me3_1_peak_8372,chr19,53389584,53390584,+,92,NA,promoter-TSS (NM_001356986),promoter-TSS (NM_001356986),-43,NM_001356986,76479,Mm.313687,NM_172429,ENSMUSG00000025024,Smndc1,-,survival motor neuron domain containing 1,protein-coding
clp_H3K4me3_1_peak_6620,chr17,23598911,23599911,+,92,NA,promoter-TSS (NM_011747),promoter-TSS (NM_011747),76,NM_011747,22654,Mm.40326,NM_011747,ENSMUSG00000062012,Zfp13,AI835008|Krox-8|Zfp-13,zinc finger protein 13,protein-coding
clp_H3K4me3_1_peak_6409,chr16,91010598,91011598,+,92,NA,promoter-TSS (NM_001045515),promoter-TSS (NM_001045515),-3,NM_001045515,104015,Mm.187079,NM_001045515,ENSMUSG00000022973,Synj1,A930006D20Rik|AA675315|mKIAA0910,synaptojanin 1,protein-coding
clp_H3K4me3_1_peak_5401,chr15,39943789,39944789,+,92,NA,promoter-TSS (NM_001347036),promoter-TSS (NM_001347036),-295,NM_172814,239393,Mm.39874,NM_172814,ENSMUSG00000022305,Lrp12,AI848829|C820005L12Rik|LRP-12,low density lipoprotein-related protein 12,protein-coding
clp_H3K4me3_1_peak_8781,chr2,33467963,33468963,+,92,NA,promoter-TSS (NM_027947),promoter-TSS (NM_027947),69,NM_001355610,71834,Mm.44186,NM_027947,ENSMUSG00000026788,Zbtb43,1700010E06Rik|Zfp297b|mKIAA0414,zinc finger and BTB domain containing 43,protein-coding
clp_H3K4me3_1_peak_10233,chr3,95855167,95856167,+,92,NA,promoter-TSS (NM_027541),promoter-TSS (NM_027541),86,NM_027541,70767,Mm.279872,NM_027541,ENSMUSG00000015748,Prpf3,3632413F13Rik,pre-mRNA processing factor 3,protein-coding
clp_H3K4me3_1_peak_15807,chr9,20951769,20952769,+,91,NA,"5' UTR (NM_001199433, exon 1 of 39)","5' UTR (NM_001199433, exon 1 of 39)",354,NM_001199433,13433,Mm.128580,NM_010066,ENSMUSG00000004099,Dnmt1,Cxxc9|Dnmt|Dnmt1o|MCMT|MTase|Met-1|Met1|MommeD2|m.MmuI,DNA methyltransferase (cytosine-5) 1,protein-coding
clp_H3K4me3_1_peak_15696,chr8,123858584,123859584,+,91,NA,"intron (NM_028536, intron 2 of 3)",CpG,1125,NM_028536,73420,Mm.157746,NM_028536,ENSMUSG00000031971,Ccsap,1700054N08Rik|AI853424,"centriole, cilia and spindle associated protein",protein-coding
clp_H3K4me3_1_peak_6847,chr17,33089038,33090038,+,91,NA,"intron (NM_001024950, intron 1 of 3)","intron (NM_001024950, intron 1 of 3)",171,NM_001024950,240068,Mm.121392,NM_001024950,ENSMUSG00000067424,Zfp563,D10628|D130054H01|NTfin7|Zfp413,zinc finger protein 563,protein-coding
clp_H3K4me3_1_peak_15252,chr8,72135361,72136361,+,91,NA,"intron (NM_001001491, intron 1 of 7)","intron (NM_001001491, intron 1 of 7)",573,NM_001001491,326618,Mm.295124,NM_001001491,ENSMUSG00000031799,Tpm4,2610528G24Rik|Tpm4.2|Tpm4.2cy,tropomyosin 4,protein-coding
clp_H3K4me3_1_peak_11804,chr5,24452062,24453062,+,91,NA,"intron (NM_139153, intron 1 of 17)","intron (NM_139153, intron 1 of 17)",385,NM_001256431,213990,Mm.250703,NM_139153,ENSMUSG00000023353,Agap3,AGAP-3|AV028425|Centg3|Crag|Crag.|MRIP-1|cnt-g3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",protein-coding
clp_H3K4me3_1_peak_9331,chr2,128943156,128944156,+,91,NA,"intron (NM_020594, intron 1 of 8)",CpG,364,NM_020594,57432,Mm.11675,NM_020594,ENSMUSG00000027387,Zc3h8,AU020882|E130108N08Rik|Fliz1|Zc3hdc8,zinc finger CCCH type containing 8,protein-coding
clp_H3K4me3_1_peak_8678,chr2,29965577,29966577,+,91,NA,"intron (NM_001177668, intron 1 of 55)",CpG,517,NM_001177668,20740,Mm.204969,NM_001076554,ENSMUSG00000057738,Sptan1,2610027H02Rik|Spna-2|Spna2,"spectrin alpha, non-erythrocytic 1",protein-coding
clp_H3K4me3_1_peak_11467,chr4,135856289,135857289,+,91,NA,"intron (NM_001284195, intron 1 of 5)","intron (NM_001284195, intron 1 of 5)",718,NM_001284196,14105,Mm.10229,NM_010178,ENSMUSG00000028676,Srsf10,FUSIP2|Fusip1|NSSR1|NSSR2|Nssr|SRrp40|Sfrs13a|Srsf13a|TASR|TASR1|TASR2,serine/arginine-rich splicing factor 10,protein-coding
clp_H3K4me3_1_peak_14140,chr7,44856867,44857867,+,91,NA,promoter-TSS (NM_001290767),promoter-TSS (NM_001290767),-36,NM_001290767,59047,Mm.238254,NM_021549,ENSMUSG00000002963,Pnkp,1810009G08Rik|PNK,polynucleotide kinase 3'- phosphatase,protein-coding
clp_H3K4me3_1_peak_15252-2,chr8,72135361,72136361,+,91,NA,"intron (NM_001001491, intron 1 of 7)","intron (NM_001001491, intron 1 of 7)",573,NM_001001491,326618,Mm.295124,NM_001001491,ENSMUSG00000031799,Tpm4,2610528G24Rik|Tpm4.2|Tpm4.2cy,tropomyosin 4,protein-coding
clp_H3K4me3_1_peak_13384,chr6,113306851,113307851,+,91,NA,"5' UTR (NM_001282128, exon 1 of 14)","5' UTR (NM_001282128, exon 1 of 14)",214,NM_001282126,78783,Mm.356059,NM_030178,ENSMUSG00000001632,Brpf1,4833438B11Rik|4930540D11Rik|Brpf2,"bromodomain and PHD finger containing, 1",protein-coding
