PeakID (cmd=annotatePeaks.pl clp_nocd8_H3K4me3.txt mm10 -size -500,500)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
clp_H3K4me3_1_peak_12997	chr6	39118078	39119078	+	76	NA	promoter-TSS (NM_172893)	promoter-TSS (NM_172893)	105	NR_045813	75379	Mm.348014	NR_045813	ENSMUSG00000073144	4930599N23Rik	-	RIKEN cDNA 4930599N23 gene	ncRNA
clp_H3K4me3_1_peak_16507	chr9	108566731	108567731	+	76	NA	5' UTR (NM_023247, exon 1 of 5)	5' UTR (NM_023247, exon 1 of 5)	205	NM_023247	66706	Mm.29471	NM_023247	ENSMUSG00000070283	Ndufaf3	4733401H18Rik	NADH:ubiquinone oxidoreductase complex assembly factor 3	protein-coding
clp_H3K4me3_1_peak_9984	chr3	63963410	63964410	+	76	NA	exon (NM_001272035, exon 1 of 7)	exon (NM_001272035, exon 1 of 7)	823	NM_001331067	11416	Mm.135619	NM_015728	ENSMUSG00000027822	Slc33a1	AI315656|AI788741|Acatn|D630022N01Rik	solute carrier family 33 (acetyl-CoA transporter), member 1	protein-coding
clp_H3K4me3_1_peak_3956	chr12	113013614	113014614	+	76	NA	promoter-TSS (NM_001291445)	promoter-TSS (NM_001291445)	-394	NM_001081170	217893	Mm.35754	NM_198165	ENSMUSG00000021143	Pacs2	6720425G15Rik|AW208651|AW489976|E230011J22|Pacs1l|mKIAA0602	phosphofurin acidic cluster sorting protein 2	protein-coding
clp_H3K4me3_1_peak_6030	chr16	14361433	14362433	+	76	NA	intron (NM_008576, intron 1 of 30)	intron (NM_008576, intron 1 of 30)	375	NM_008576	17250	Mm.196634	NM_008576	ENSMUSG00000023088	Abcc1	Abcc1a|Abcc1b|MRP|Mdrap|Mrp1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	protein-coding
clp_H3K4me3_1_peak_8155	chr19	29805702	29806702	+	76	NA	promoter-TSS (NM_172836)	promoter-TSS (NM_172836)	-193	NM_172836	240613	Mm.313351	NM_172836	ENSMUSG00000046138	9930021J03Rik	Gm9832|mKIAA2026	RIKEN cDNA 9930021J03 gene	protein-coding
clp_H3K4me3_1_peak_6889	chr17	34186575	34187575	+	76	NA	promoter-TSS (NM_013683)	promoter-TSS (NM_013683)	255	NM_013585	16912	Mm.390983	NM_013585	ENSMUSG00000096727	Psmb9	Lmp-2|Lmp2	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)	protein-coding
clp_H3K4me3_1_peak_3606	chr12	69680800	69681800	+	76	NA	intron (NM_001135559, intron 1 of 22)	intron (NM_001135559, intron 1 of 22)	552	NM_001135559	20663	Mm.3770	NM_001135559	ENSMUSG00000034801	Sos2	SOS-2|mSOS-2	SOS Ras/Rho guanine nucleotide exchange factor 2	protein-coding
clp_H3K4me3_1_peak_8769	chr2	32961494	32962494	+	76	NA	promoter-TSS (NM_199302)	promoter-TSS (NM_199302)	282	NM_009076	269261	Mm.250030	NM_009076	ENSMUSG00000038900	Rpl12	E430018F03	ribosomal protein L12	protein-coding
clp_H3K4me3_1_peak_12648	chr5	137313697	137314697	+	75	NA	promoter-TSS (NM_011639)	promoter-TSS (NM_011639)	44	NM_011639	22051	Mm.27063	NM_011639	ENSMUSG00000023348	Trip6	-	thyroid hormone receptor interactor 6	protein-coding
clp_H3K4me3_1_peak_15002	chr8	25976537	25977537	+	75	NA	promoter-TSS (NM_029884)	promoter-TSS (NM_029884)	-293	NM_029884	52120	Mm.28326	NM_029884	ENSMUSG00000037260	Hgsnat	9430010M12Rik|AW208455|D8Ertd354e|Tmem76	heparan-alpha-glucosaminide N-acetyltransferase	protein-coding
clp_H3K4me3_1_peak_8428	chr19	61140509	61141509	+	75	NA	promoter-TSS (NM_001309216)	promoter-TSS (NM_001309216)	-169	NM_001309195	414758	Mm.100056	NM_001001737	ENSMUSG00000074733	Zfp950	5830428H23Rik|AU016073|BC055757|Gm34518|Zfp826|mszf84	zinc finger protein 950	protein-coding
clp_H3K4me3_1_peak_15247	chr8	71922085	71923085	+	75	NA	promoter-TSS (NM_133358)	promoter-TSS (NM_133358)	-240	NM_133358	170938	Mm.480419	NM_133358	ENSMUSG00000066880	Zfp617	Zfps11-6	zinc finger protein 617	protein-coding
clp_H3K4me3_1_peak_9057	chr2	91096881	91097881	+	75	NA	intron (NM_011355, intron 1 of 4)	intron (NM_011355, intron 1 of 4)	703	NM_011355	20375	Mm.1302	NM_011355	ENSMUSG00000002111	Spi1	Dis-1|Dis1|PU.1|Sfpi-1|Sfpi1|Spi-1|Tcfpu1|Tfpu.1	spleen focus forming virus (SFFV) proviral integration oncogene	protein-coding
clp_H3K4me3_1_peak_16037	chr9	52048606	52049606	+	75	NA	promoter-TSS (NR_023357)	promoter-TSS (NR_023357)	-401	NR_023357	629557	Mm.422775	NR_023357		Gm6981	EG629557	glyceraldehyde-3-phosphate dehydrogenase pseudogene	pseudo
clp_H3K4me3_1_peak_13884	chr7	24593421	24594421	+	75	NA	promoter-TSS (NM_001364014)	promoter-TSS (NM_001364014)	13	NM_001364014	66071	Mm.29553	NM_023154	ENSMUSG00000064254	Ethe1	0610025L15Rik|Hsco	ethylmalonic encephalopathy 1	protein-coding
clp_H3K4me3_1_peak_8454	chr2	4881456	4882456	+	75	NA	promoter-TSS (NM_001362708)	promoter-TSS (NM_001362708)	-271	NM_001362707	109079	Mm.34329	NM_175400	ENSMUSG00000026662	Sephs1	1110046B24Rik|AA589574|AI505014|AW111620|SELD|SPS|SPS1	selenophosphate synthetase 1	protein-coding
clp_H3K4me3_1_peak_13505	chr6	124828221	124829221	+	75	NA	intron (NM_013700, intron 1 of 19)	intron (NM_013700, intron 1 of 19)	763	NM_013700	22225	Mm.3571	NM_013700	ENSMUSG00000038429	Usp5	AA407472|ISOT|ISOT-1|Ucht	ubiquitin specific peptidase 5 (isopeptidase T)	protein-coding
clp_H3K4me3_1_peak_16243	chr9	72275100	72276100	+	75	NA	intron (NM_001311105, intron 1 of 20)	intron (NM_001311105, intron 1 of 20)	712	NM_001311105	235469	Mm.242791	NM_146224	ENSMUSG00000038535	Zfp280d	A930005F02Rik|BC027163|Suhw4|ZNF634|Znf280d	zinc finger protein 280D	protein-coding
clp_H3K4me3_1_peak_10227	chr3	95658866	95659866	+	75	NA	exon (NM_008562, exon 1 of 3)	exon (NM_008562, exon 1 of 3)	645	NM_008562	17210	Mm.1639	NM_008562	ENSMUSG00000038612	Mcl1	AW556805|Mcl-1	myeloid cell leukemia sequence 1	protein-coding
clp_H3K4me3_1_peak_15149	chr8	69076703	69077703	+	75	NA	5' UTR (NM_153054, exon 2 of 17)	5' UTR (NM_153054, exon 2 of 17)	-11533	NM_007509	11966	Mm.249096	NM_007509	ENSMUSG00000006273	Atp6v1b2	AI194269|AI790362|Atp6b2|HO57|R74844	ATPase, H+ transporting, lysosomal V1 subunit B2	protein-coding
clp_H3K4me3_1_peak_7411	chr18	12127899	12128899	+	75	NA	promoter-TSS (NM_024182)	promoter-TSS (NM_024182)	-451	NM_024182	66878	Mm.28551	NM_024182	ENSMUSG00000024404	Riok3	1200013N13Rik|D18Ertd331e|E130306C24Rik|Sudd	RIO kinase 3	protein-coding
clp_H3K4me3_1_peak_1697-2	chr10	91081842	91082842	+	75	NA	promoter-TSS (NM_026166)	promoter-TSS (NM_026166)	401	NM_001042558	11783	Mm.220289	NM_009684	ENSMUSG00000019979	Apaf1	6230400I06Rik|Apaf-1|Apaf1l|fog|mKIAA0413	apoptotic peptidase activating factor 1	protein-coding
clp_H3K4me3_1_peak_15011	chr8	26158573	26159573	+	75	NA	intron (NM_199042, intron 1 of 2)	intron (NM_199042, intron 1 of 2)	904	NM_199042	73754	Mm.383241	NM_199042	ENSMUSG00000037214	Thap1	4833431A01Rik|AW490810	THAP domain containing, apoptosis associated protein 1	protein-coding
clp_H3K4me3_1_peak_369	chr1	80339684	80340684	+	75	NA	intron (NM_016716, intron 1 of 15)	intron (NM_016716, intron 1 of 15)	506	NM_016716	26554	Mm.12665	NM_016716	ENSMUSG00000004364	Cul3	KIAA0617	cullin 3	protein-coding
clp_H3K4me3_1_peak_11541	chr4	141147945	141148945	+	75	NA	intron (NM_172518, intron 1 of 9)	CpG	523	NM_172518	213499	Mm.28865	NM_172518	ENSMUSG00000028920	Fbxo42	6720460I06Rik|mKIAA1332	F-box protein 42	protein-coding
clp_H3K4me3_1_peak_15674	chr8	122698305	122699305	+	75	NA	intron (NM_009824, intron 1 of 11)	intron (NM_009824, intron 1 of 11)	304	NM_009824	12398	Mm.194339	NM_009824	ENSMUSG00000006362	Cbfa2t3	A630044F12Rik|AI465270|AW229127|Cbfa2t3h|ETO-2|Eto2|MTGR2	CBFA2/RUNX1 translocation partner 3	protein-coding
clp_H3K4me3_1_peak_6790	chr17	29360879	29361879	+	75	NA	intron (NM_013710, intron 1 of 15)	intron (NM_013710, intron 1 of 15)	465	NM_001159538	26382	Mm.279187	NM_013710	ENSMUSG00000024013	Fgd2	Tcd-2|Tcd2|ZFYVE4|tcs-2|tcs2	FYVE, RhoGEF and PH domain containing 2	protein-coding
clp_H3K4me3_1_peak_13884-2	chr7	24593421	24594421	+	75	NA	promoter-TSS (NM_001364014)	promoter-TSS (NM_001364014)	13	NM_001364014	66071	Mm.29553	NM_023154	ENSMUSG00000064254	Ethe1	0610025L15Rik|Hsco	ethylmalonic encephalopathy 1	protein-coding
clp_H3K4me3_1_peak_2318-2	chr11	57644755	57645755	+	75	NA	promoter-TSS (NM_134189)	promoter-TSS (NM_134189)	-187	NM_134189	171212	Mm.271670	NM_134189	ENSMUSG00000020520	Galnt10	AU018154|C330012K04Rik|GalNAc-T10|GalNAc-T9|Galnt9|ppGaNTase	polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
clp_H3K4me3_1_peak_9149	chr2	112238672	112239672	+	75	NA	promoter-TSS (NM_207206)	promoter-TSS (NM_207206)	-669	NM_207206	99010	Mm.33438	NM_207206	ENSMUSG00000027134	Lpcat4	AI505034|Agpat7|Aytl3|LPEAT2	lysophosphatidylcholine acyltransferase 4	protein-coding
clp_H3K4me3_1_peak_5774	chr15	90223455	90224455	+	75	NA	promoter-TSS (NR_106106)	promoter-TSS (NR_106106)	-356	NM_001033441	380959	Mm.17853	NM_001033441	ENSMUSG00000075470	Alg10b	AA469671|AU045404|AW123895|C85569|Deaf1|Gm917|nse5	asparagine-linked glycosylation 10B (alpha-1,2-glucosyltransferase)	protein-coding
clp_H3K4me3_1_peak_3788	chr12	86946375	86947375	+	75	NA	promoter-TSS (NM_001289432)	promoter-TSS (NM_001289432)	-166	NM_001289430	217732	Mm.22337	NM_173735	ENSMUSG00000034157	Cipc	2310044G17Rik|AI842544|AI853744	CLOCK interacting protein, circadian	protein-coding
clp_H3K4me3_1_peak_5214	chr14	103099033	103100033	+	75	NA	promoter-TSS (NM_001347600)	promoter-TSS (NM_001347600)	-1	NM_015822	50789	Mm.214746	NM_015822	ENSMUSG00000022124	Fbxl3	AU041772|AW212966|FBK|Fbl3a|Fbxl3a|Ovtm|Play68	F-box and leucine-rich repeat protein 3	protein-coding
clp_H3K4me3_1_peak_12170	chr5	92434983	92435983	+	75	NA	promoter-TSS (NM_001359995)	promoter-TSS (NM_001359995)	-284	NM_183392	269113	Mm.275289	NM_183392	ENSMUSG00000034826	Nup54	3110079L04Rik|54kDa	nucleoporin 54	protein-coding
clp_H3K4me3_1_peak_15309	chr8	81014170	81015170	+	75	NA	5' UTR (NM_027554, exon 1 of 10)	5' UTR (NM_027554, exon 1 of 10)	236	NM_027554	74841	Mm.246018	NM_027554	ENSMUSG00000038250	Usp38	4631402N15Rik|4833420O05Rik|AA536967|AU044701|AW544820|mKIAA1891	ubiquitin specific peptidase 38	protein-coding
clp_H3K4me3_1_peak_1769	chr10	110919225	110920225	+	75	NA	promoter-TSS (NM_007792)	promoter-TSS (NM_007792)	-451	NM_007792	13008	Mm.2020	NM_007792	ENSMUSG00000020186	Csrp2	AW551867|Crp2|SmLim	cysteine and glycine-rich protein 2	protein-coding
clp_H3K4me3_1_peak_3239	chr11	116412081	116413081	+	75	NA	intron (NM_027258, intron 1 of 18)	CpG	451	NM_027258	217340	Mm.426344	NM_027258	ENSMUSG00000052949	Rnf157	2610036E23Rik|A130073L17Rik|mKIAA1917	ring finger protein 157	protein-coding
clp_H3K4me3_1_peak_10512	chr3	136687607	136688607	+	75	NA	intron (NM_001293622, intron 1 of 12)	intron (NM_001293622, intron 1 of 12)	18041	NM_008913	19055	Mm.331389	NM_008913	ENSMUSG00000028161	Ppp3ca	2900074D19Rik|CN|Caln|Calna|CnA	protein phosphatase 3, catalytic subunit, alpha isoform	protein-coding
clp_H3K4me3_1_peak_14694	chr7	127233234	127234234	+	75	NA	promoter-TSS (NR_030674)	promoter-TSS (NR_030674)	-604	NR_030674	100043580	Mm.482209	NR_030674	ENSMUSG00000000486	Gm4532	-	predicted gene 4532	ncRNA
clp_H3K4me3_1_peak_16908	chrX	95658162	95659162	+	75	NA	promoter-TSS (NM_001289696)	promoter-TSS (NM_001289696)	-153	NM_001289697	245522	Mm.336158	NM_001003916	ENSMUSG00000035062	Zc4h2	Gm372|mKIAA1166	zinc finger, C4H2 domain containing	protein-coding
clp_H3K4me3_1_peak_6541	chr17	12371185	12372185	+	75	NA	Intergenic	Intergenic	-6924	NM_008877	18815	Mm.971	NM_008877	ENSMUSG00000059481	Plg	AI649309|Pg	plasminogen	protein-coding
clp_H3K4me3_1_peak_15253	chr8	72136075	72137075	+	75	NA	intron (NM_001001491, intron 1 of 7)	intron (NM_001001491, intron 1 of 7)	1287	NM_001001491	326618	Mm.295124	NM_001001491	ENSMUSG00000031799	Tpm4	2610528G24Rik|Tpm4.2|Tpm4.2cy	tropomyosin 4	protein-coding
clp_H3K4me3_1_peak_12332	chr5	113772588	113773588	+	75	NA	promoter-TSS (NM_001356623)	promoter-TSS (NM_001356623)	287	NM_025526	66383	Mm.29497	NM_025526	ENSMUSG00000025825	Iscu	2310020H20Rik|AA407971|ISCU2|Nifu|Nifun	iron-sulfur cluster assembly enzyme	protein-coding
clp_H3K4me3_1_peak_117	chr1	36938948	36939948	+	75	NA	promoter-TSS (NM_018872)	promoter-TSS (NM_018872)	79	NM_018872	56030	Mm.186943	NM_018872	ENSMUSG00000026116	Tmem131	2610524E03Rik|CC28|D1Bwg0491e|Neg|RW1|YR-23|mKIAA0257	transmembrane protein 131	protein-coding
clp_H3K4me3_1_peak_10831	chr4	46388353	46389353	+	75	NA	intron (NM_001347095, intron 1 of 4)	intron (NM_001347095, intron 1 of 4)	570	NM_029086	74753	Mm.45973	NM_029086	ENSMUSG00000028331	Trmo	5830415F09Rik|AV014846|Nap1	tRNA methyltransferase O	protein-coding
clp_H3K4me3_1_peak_4445	chr13	72639394	72640394	+	75	NA	Intergenic	Intergenic	11074	NM_010574	16372	Mm.28888	NM_010574	ENSMUSG00000001504	Irx2	-	Iroquois homeobox 2	protein-coding
clp_H3K4me3_1_peak_9186	chr2	118896145	118897145	+	75	NA	Intergenic	Intergenic	-4970	NM_001045523	228536	Mm.330487	NM_001045523	ENSMUSG00000040007	Bahd1	AL022997|AW541238|Gm117|mKIAA0945	bromo adjacent homology domain containing 1	protein-coding
clp_H3K4me3_1_peak_730	chr1	157458187	157459187	+	75	NA	intron (NM_001033284, intron 1 of 9)	GC_rich|Low_complexity|Low_complexity	119	NM_001356418	226527	Mm.215960	NM_001033284	ENSMUSG00000033488	Cryzl2	-	crystallin zeta like 2	protein-coding
clp_H3K4me3_1_peak_9841	chr3	30855900	30856900	+	75	NA	intron (NM_001286994, intron 1 of 3)	CpG	450	NM_001286996	71862	Mm.272019	NM_027965	ENSMUSG00000037661	Gpr160	1700025D19Rik|GPCR150	G protein-coupled receptor 160	protein-coding
clp_H3K4me3_1_peak_10280-2	chr3	97297054	97298054	+	75	NA	Intergenic	Intergenic	-70190	NM_029933	77578	Mm.226175	NM_029933	ENSMUSG00000038256	Bcl9	2610202E01Rik|8030475K17Rik|A330041G23Rik|Gm130	B cell CLL/lymphoma 9	protein-coding
clp_H3K4me3_1_peak_6187	chr16	32643427	32644427	+	75	NA	promoter-TSS (NM_016788)	promoter-TSS (NM_016788)	-716	NM_016788	51789	Mm.251115	NM_016788	ENSMUSG00000022791	Tnk2	Ack|Ack-1|Ack1|Cdgip|Pyk1	tyrosine kinase, non-receptor, 2	protein-coding
clp_H3K4me3_1_peak_5762	chr15	89210669	89211669	+	75	NA	promoter-TSS (NM_001356969)	promoter-TSS (NM_001356969)	-390	NM_026813	71474	Mm.184055	NM_026813	ENSMUSG00000036561	Ppp6r2	1110033O10Rik|8430411H09Rik|B230107H12Rik|Pp6r2|Saps2	protein phosphatase 6, regulatory subunit 2	protein-coding
clp_H3K4me3_1_peak_5913	chr15	102458575	102459575	+	75	NA	promoter-TSS (NM_025385)	promoter-TSS (NM_025385)	-95	NM_025385	66151	Mm.393955	NM_025385	ENSMUSG00000023048	Prr13	1110020C13Rik|2010324E22Rik	proline rich 13	protein-coding
clp_H3K4me3_1_peak_8770	chr2	32961885	32962885	+	75	NA	promoter-TSS (NR_002898)	promoter-TSS (NR_002898)	673	NM_009076	269261	Mm.250030	NM_009076	ENSMUSG00000038900	Rpl12	E430018F03	ribosomal protein L12	protein-coding
clp_H3K4me3_1_peak_11768	chr5	21701368	21702368	+	75	NA	promoter-TSS (NM_001359963)	promoter-TSS (NM_001359963)	-246	NM_001359965	242864	Mm.153292	NM_178728	ENSMUSG00000044968	Napepld	A530089G06|Mbldc1|NAPE-PLD	N-acyl phosphatidylethanolamine phospholipase D	protein-coding
clp_H3K4me3_1_peak_16766	chrX	37084103	37085103	+	75	NA	intron (NM_026055, intron 1 of 2)	intron (NM_026055, intron 1 of 2)	619	NM_026055	67248	Mm.30478	NM_026055	ENSMUSG00000079641	Rpl39	2810465O16Rik	ribosomal protein L39	protein-coding
clp_H3K4me3_1_peak_16733	chrX	20616367	20617367	+	75	NA	promoter-TSS (NM_001167775)	promoter-TSS (NM_001167775)	-636	NM_001167775	236732	Mm.279194	NM_145627	ENSMUSG00000031060	Rbm10	E430039K10Rik	RNA binding motif protein 10	protein-coding
clp_H3K4me3_1_peak_1160	chr10	20952265	20953265	+	75	NA	intron (NM_001358561, intron 1 of 22)	CpG	218	NM_026203	52906	Mm.253280	NM_026203	ENSMUSG00000019986	Ahi1	1700015F03Rik|Ahi-1|D10Bwg0629e	Abelson helper integration site 1	protein-coding
clp_H3K4me3_1_peak_14824	chr7	141221649	141222649	+	75	NA	promoter-TSS (NR_029793)	promoter-TSS (NR_029793)	-656	NR_029793	387206		NR_029793	ENSMUSG00000065551	Mir210	Mirn210|mir-210|mmu-mir-210	microRNA 210	ncRNA
clp_H3K4me3_1_peak_13117	chr6	56923724	56924724	+	75	NA	promoter-TSS (NM_026004)	promoter-TSS (NM_026004)	-292	NM_026004	107569	Mm.158936	NM_026004	ENSMUSG00000029780	Nt5c3	1600024P05Rik|2610206B05Rik|3110004A18Rik|AI842776|Nt5c3a|Nt5y|P5'N-1|P5N-1|PN-1|PN-I|PSN1|UMPH|Umph-1|Umph1|cN-III|lupin|p36	5'-nucleotidase, cytosolic III	protein-coding
clp_H3K4me3_1_peak_9924	chr3	51483206	51484206	+	75	NA	promoter-TSS (NM_016858)	promoter-TSS (NM_016858)	-260	NM_016858	19338	Mm.1664	NM_016858	ENSMUSG00000027739	Rab33b	-	RAB33B, member RAS oncogene family	protein-coding
clp_H3K4me3_1_peak_14628	chr7	122101647	122102647	+	75	NA	promoter-TSS (NM_001360743)	promoter-TSS (NM_001360743)	-299	NM_028177	70316	Mm.3014	NM_028177	ENSMUSG00000030869	Ndufab1	2210401F17Rik|2310039H15Rik|2610003B19Rik|8kDa|9130423F15Rik|ACP|CI-SDAP|SDAP	NADH:ubiquinone oxidoreductase subunit AB1	protein-coding
clp_H3K4me3_1_peak_16815	chrX	53369776	53370776	+	75	NA	intron (NR_110964, intron 1 of 6)	intron (NR_110964, intron 1 of 6)	283	NM_027409	70380	Mm.491083	NM_027409	ENSMUSG00000023074	Mospd1	1810018L05Rik	motile sperm domain containing 1	protein-coding
clp_H3K4me3_1_peak_5402	chr15	41154508	41155508	+	75	NA	Intergenic	Intergenic	-18693	NR_151516	100418302		NR_151516		4930555K19Rik	-	leucine rich repeat and sterile alpha motif containing 1 pseudogene	pseudo
clp_H3K4me3_1_peak_14432	chr7	99352516	99353516	+	75	NA	5' UTR (NM_009825, exon 1 of 5)	5' UTR (NM_009825, exon 1 of 5)	223	NM_009825	12406	Mm.22708	NM_009825	ENSMUSG00000070436	Serpinh1	BERF-1|Cbp1|Cbp2|Hsp47|J6|Serpinh2|gp46	serine (or cysteine) peptidase inhibitor, clade H, member 1	protein-coding
clp_H3K4me3_1_peak_46	chr1	16518505	16519505	+	75	NA	intron (NM_001347044, intron 1 of 13)	C-rich|Low_complexity|Low_complexity	110	NM_001347044	29819	Mm.216257	NM_025303	ENSMUSG00000025920	Stau2	-	staufen double-stranded RNA binding protein 2	protein-coding
clp_H3K4me3_1_peak_9195	chr2	119188860	119189860	+	75	NA	intron (NM_139139, intron 1 of 10)	intron (NM_139139, intron 1 of 10)	14851	NM_001039223	623781	Mm.389344	NM_001039223	ENSMUSG00000055926	Gm14137	-	predicted gene 14137	protein-coding
clp_H3K4me3_1_peak_16396	chr9	100642295	100643295	+	75	NA	promoter-TSS (NM_009282)	promoter-TSS (NM_009282)	-653	NM_001357264	20842	Mm.42135	NM_009282	ENSMUSG00000037286	Stag1	AU045003|SA-1|Scc3	stromal antigen 1	protein-coding
clp_H3K4me3_1_peak_8482	chr2	11172111	11173111	+	75	NA	intron (NM_008859, intron 1 of 17)	intron (NM_008859, intron 1 of 17)	229	NM_008859	18761	Mm.329993	NM_008859	ENSMUSG00000026778	Prkcq	A130035A12Rik|AW494342|PKC-0|PKC-theta|PKCtheta|Pkcq	protein kinase C, theta	protein-coding
clp_H3K4me3_1_peak_14098	chr7	39655263	39656263	+	75	NA	Intergenic	Intergenic	137997	NM_001004139	70227	Mm.333800	NM_001004139	ENSMUSG00000068959	Zfp619	3000002G13Rik	zinc finger protein 619	protein-coding
clp_H3K4me3_1_peak_9280	chr2	122764864	122765864	+	75	NA	promoter-TSS (NM_001162503)	promoter-TSS (NM_001162503)	5	NM_001162503	59010	Mm.28986	NM_021507	ENSMUSG00000005803	Sqor	0610039J17Rik|4930557M22Rik|Sqrdl	sulfide quinone oxidoreductase	protein-coding
clp_H3K4me3_1_peak_2470	chr11	69368294	69369294	+	75	NA	intron (NM_146019, intron 1 of 39)	CpG	632	NM_146019	216848	Mm.178246	NM_146019	ENSMUSG00000018474	Chd3	2600010P09Rik|AF020312|Chd7|Prp7|Prp9-1	chromodomain helicase DNA binding protein 3	protein-coding
clp_H3K4me3_1_peak_2766	chr11	86472611	86473611	+	75	NA	Intergenic	Intergenic	-11546	NM_029788	76892	Mm.262707	NM_029788	ENSMUSG00000020521	Rnft1	0610013E23Rik|AV007605	ring finger protein, transmembrane 1	protein-coding
clp_H3K4me3_1_peak_5413	chr15	43869314	43870314	+	75	NA	intron (NM_175502, intron 1 of 1)	intron (NM_175502, intron 1 of 1)	215	NM_175502	239408	Mm.41219	NM_175502	ENSMUSG00000054409	Tmem74	AA549547|B230382K22Rik	transmembrane protein 74	protein-coding
clp_H3K4me3_1_peak_6535	chr17	10319735	10320735	+	75	NA	promoter-TSS (NM_001159516)	promoter-TSS (NM_001159516)	316	NR_037588	100526796	Mm.384135	NR_037588		Cahm	B930003M22Rik	colon adenocarcinoma hypermethylated RNA	ncRNA
clp_H3K4me3_1_peak_12780	chr5	146793794	146794794	+	75	NA	intron (NM_011669, intron 1 of 8)	(CCCCAG)n|Simple_repeat|Simple_repeat	662	NM_011669	22217	Mm.167971	NM_011669	ENSMUSG00000029640	Usp12	Ubh1	ubiquitin specific peptidase 12	protein-coding
clp_H3K4me3_1_peak_3384	chr12	4906844	4907844	+	75	NA	intron (NM_145441, intron 1 of 6)	CpG	176	NM_145441	217379	Mm.259170	NM_145441	ENSMUSG00000020634	Ubxn2a	6330407P03Rik|Ubxd4	UBX domain protein 2A	protein-coding
clp_H3K4me3_1_peak_987	chr1	186116570	186117570	+	75	NA	intron (NM_146106, intron 1 of 4)	CpG	240	NM_146106	226791	Mm.257116	NM_146106	ENSMUSG00000039246	Lyplal1	BC027340|Q96AVO	lysophospholipase-like 1	protein-coding
clp_H3K4me3_1_peak_2307	chr11	54860525	54861525	+	75	NA	promoter-TSS (NM_001363191)	promoter-TSS (NM_001363191)	-428	NR_156460	75530	Mm.83578	NM_029327	ENSMUSG00000020268	Lyrm7	1700024C24Rik|9330147L21Rik	LYR motif containing 7	protein-coding
clp_H3K4me3_1_peak_7753	chr18	75342716	75343716	+	75	NA	Intergenic	CpG	23872	NR_155535	102636262	Mm.421168	NR_155535		Gm20544	-	predicted gene 20544	ncRNA
clp_H3K4me3_1_peak_8454-2	chr2	4881456	4882456	+	75	NA	promoter-TSS (NM_001362708)	promoter-TSS (NM_001362708)	-271	NM_001362707	109079	Mm.34329	NM_175400	ENSMUSG00000026662	Sephs1	1110046B24Rik|AA589574|AI505014|AW111620|SELD|SPS|SPS1	selenophosphate synthetase 1	protein-coding
clp_H3K4me3_1_peak_11541-2	chr4	141147945	141148945	+	75	NA	intron (NM_172518, intron 1 of 9)	CpG	523	NM_172518	213499	Mm.28865	NM_172518	ENSMUSG00000028920	Fbxo42	6720460I06Rik|mKIAA1332	F-box protein 42	protein-coding
clp_H3K4me3_1_peak_15567	chr8	110969936	110970936	+	75	NA	3' UTR (NM_009179, exon 7 of 7)	3' UTR (NM_009179, exon 7 of 7)	27387	NM_007916	13680	Mm.287901	NM_007916	ENSMUSG00000015023	Ddx19a	DBP5|Ddx19|Eif4a-rs1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19a	protein-coding
clp_H3K4me3_1_peak_9581	chr2	160872791	160873791	+	75	NA	promoter-TSS (NM_177263)	promoter-TSS (NM_177263)	-301	NM_177263	320799	Mm.436734	NM_177263	ENSMUSG00000035877	Zhx3	1810059C13Rik|4932418O04Rik|9530010N21Rik|Tix1|mKIAA0395	zinc fingers and homeoboxes 3	protein-coding
clp_H3K4me3_1_peak_16834	chrX	72917612	72918612	+	75	NA	promoter-TSS (NM_010941)	promoter-TSS (NM_010941)	232	NM_019405	26370	Mm.24643	NM_019405	ENSMUSG00000031347	Cetn2	1110034A02Rik|AI326150|Calt|caltractin	centrin 2	protein-coding
clp_H3K4me3_1_peak_15369	chr8	84969167	84970167	+	75	NA	promoter-TSS (NM_001317385)	promoter-TSS (NM_001317385)	45	NM_001317385	21672	Mm.347009	NM_011563	ENSMUSG00000005161	Prdx2	AL022839|Band-8|NkefB|PRP|PrxII|TDX1|TPx|TPx-B|TR|TSA|Tdpx1|Torin	peroxiredoxin 2	protein-coding
clp_H3K4me3_1_peak_9797	chr3	14641211	14642211	+	75	NA	promoter-TSS (NM_024495)	promoter-TSS (NM_024495)	-16	NM_024495	71934	Mm.158776	NM_024495	ENSMUSG00000027555	Car13	2310075C21Rik|Ca13	carbonic anhydrase 13	protein-coding
clp_H3K4me3_1_peak_2318	chr11	57644755	57645755	+	75	NA	promoter-TSS (NM_134189)	promoter-TSS (NM_134189)	-187	NM_134189	171212	Mm.271670	NM_134189	ENSMUSG00000020520	Galnt10	AU018154|C330012K04Rik|GalNAc-T10|GalNAc-T9|Galnt9|ppGaNTase	polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
